first_name,last_name,birth_city,birth_country,native_language,birthday
Vally,Border,Krasnolesnyy,Russia,Macedonian,5/16/2003
Melonie,Harley,Vithkuq,Albania,Sotho,5/11/2017
Karoline,Toupe,Dongtundu,China,Irish Gaelic,9/5/2001
Gilberta,Burdett,Marija Bistrica,Croatia,Afrikaans,3/15/1990
Natalee,Channing,Taliouine,Morocco,Finnish,1/15/1998
Dorelle,Troyes,Veliki Preslav,Bulgaria,Swati,9/19/1996
Cristy,Dobrovolski,Côn Sơn,Vietnam,Swahili,2/9/1999
Yehudit,Block,Black River,Jamaica,Estonian,1/26/2015
Liz,Coolson,Chaihe,China,Dhivehi,4/6/2017
Dore,Golling,Huangnihe,China,Albanian,2/16/1995
Hendrika,Waldram,Okayama-shi,Japan,Lithuanian,10/25/1995
Judi,Enefer,Serravalle,San Marino,Marathi,7/15/2005
Nels,Grannell,Santo António das Areias,Portugal,Montenegrin,10/19/1996
Wyatan,Piddocke,Lasek,Poland,Khmer,6/8/2009
Carole,Tomsa,Yuanquan,China,Luxembourgish,5/10/1993
Diannne,Lyston,Ma’an,China,Malay,11/23/1995
Eddie,Pashby,San Jose,United States,Telugu,12/11/2013
Alana,Pflieger,El Retorno,Colombia,Latvian,4/3/2017
Georgiana,Matasov,Podosinovets,Russia,Icelandic,10/28/2011
Arri,Szymoni,Tokār,Sudan,Maltese,7/13/2001
Marthe,Wann,Marulanda,Colombia,Dutch,2/22/2020
Gene,Yewman,Idvor,Serbia,Armenian,5/11/2019
Finley,Pulman,Villa de Soto,Argentina,Ndebele,1/6/2020
Dino,Kingsly,Pinellas Park,United States,Ndebele,6/27/1995
Price,Dyson,Chadiza,Zambia,Tsonga,5/5/2000
Renault,Maccari,Pacobamba,Peru,Finnish,8/23/1993
Montague,Scrivens,Shifo,China,Telugu,7/2/2019
Ilysa,Haire,Shijia,China,Gujarati,9/11/1990
Elsie,Winterborne,Aurora,United States,Japanese,2/20/2016
Katee,Duffy,Miān Channūn,Pakistan,Hindi,5/3/1999
Henry,Dunham,Greensboro,United States,Telugu,11/2/2018
Rawley,McQuin,Albardón,Argentina,Dzongkha,8/18/2003
Morgen,Hew,Batugede Kulon,Indonesia,Guaraní,1/22/1992
Andie,Ashby,Vasyshcheve,Ukraine,Burmese,1/7/1995
Chiarra,Chadd,Arlington,United States,Thai,8/25/2018
Nomi,MacNeely,Binucayan,Philippines,Punjabi,7/8/1990
Mela,Duxfield,Tajumulco,Guatemala,Tok Pisin,8/28/2000
Devan,Jeffcoate,Tigaon,Philippines,Sotho,2/12/2015
Marthe,Powland,Yudai,China,Thai,9/19/2020
Ewan,Sharvell,Sollefteå,Sweden,Burmese,1/24/2006
Abraham,Fairholme,Ituberá,Brazil,Punjabi,2/28/2021
Gabbi,Casperri,Xilanqi,China,Hindi,11/3/1995
Iain,Henrichs,Jalālpur,Pakistan,Swedish,1/6/2003
Sky,Aldiss,Cergy-Pontoise,France,Bislama,3/22/2002
Kermy,Panter,Tabivere,Estonia,Tamil,6/2/2007
Teirtza,Noseworthy,Couva,Trinidad and Tobago,Czech,10/17/2008
Bee,Fursland,Bulacan,Philippines,Armenian,1/14/2018
Grissel,Kroin,Peabiru,Brazil,Azeri,6/17/2011
Libby,Malcolm,Gýtheio,Greece,Greek,1/10/2017
Konstance,O'Shields,Abua,Nigeria,French,5/3/2013
Trumann,Hayler,Batanghari,Indonesia,Albanian,9/22/2019
Homerus,Faas,Stockton,United States,Albanian,12/1/2004
Traver,Polini,Chiang Khan,Thailand,Bulgarian,7/10/2010
Munroe,Buyers,Ōta,Japan,Dzongkha,1/2/2017
Walt,Spandley,Morinville,Canada,Bislama,5/29/2016
Vallie,Andriveaux,Yuncheng,China,French,4/8/2011
Alanna,Kinker,Qaryat al Qābil,Yemen,Papiamento,3/6/2016
Emmalee,Greber,Dengjia,China,Quechua,6/9/2004
Standford,Godby,Ust-Kamenogorsk,Kazakhstan,Hindi,9/18/1992
Annalee,Calleja,Xuedian,China,Malay,3/13/1998
Silvanus,Corringham,Daohe,China,Khmer,5/30/2006
Billie,Kirrage,Mao,Chad,Gagauz,2/23/2011
Risa,Andrin,Arras,France,Hebrew,7/10/2020
Kaia,Lambotin,Mongo,Chad,Nepali,11/2/1991
Jonah,Nott,Riangderi,Indonesia,Dari,10/9/2011
Bruce,Candie,Malpique,Portugal,Dzongkha,2/16/1998
Salaidh,Boraston,Cipinang,Indonesia,Kyrgyz,5/6/1995
Clara,Dronsfield,Sukajadi,Indonesia,Italian,4/25/1996
Karina,Shapiro,Alarobia,Madagascar,Hungarian,9/28/1990
Uriel,Giacomasso,Shangjiangxu,China,Dari,1/2/1993
Sukey,Stodit,Villa Regina,Argentina,Malay,11/22/2003
Artemus,Szymanowicz,La Colorada,Panama,Gagauz,3/10/1992
Raquela,Morillas,Arvidsjaur,Sweden,Tswana,10/24/2011
Fields,Dagwell,Lianghekou,China,Thai,12/16/1998
Maybelle,McConville,Jacobina,Brazil,Kashmiri,8/24/2014
Gabi,Paoletto,Atalaia,Portugal,Georgian,1/20/2008
Robinett,Carragher,Paojan,Indonesia,Tetum,6/9/1998
Joli,Washington,Mandiana,Guinea,Chinese,11/2/2004
Dorri,Hardeman,Ntungamo,Uganda,Italian,6/7/1995
Winston,Whyman,Pinhais,Brazil,Bosnian,11/6/2008
Fredi,Kydde,Tsotsin-Yurt,Russia,Arabic,8/26/1997
Ardelis,Shadrack,Pamotan,Indonesia,Arabic,3/14/2010
Annette,Simonot,Forshaga,Sweden,Norwegian,9/13/2014
Toby,McCullogh,Rybache,Ukraine,French,10/18/2003
Meara,Poletto,Pirané,Argentina,Lithuanian,12/17/2015
Heall,MacFadzan,Houston,United States,Czech,6/4/2009
Orelee,McGill,Arsenal,Mauritius,Somali,3/20/2001
Arni,Stanesby,Ustupo,Panama,Maltese,3/20/1996
Babita,D'orsay,Uticyacu,Peru,Pashto,8/6/2011
Darrin,Basili,Fort Abbās,Pakistan,Papiamento,8/7/2014
Filippa,De la Barre,Richmond,United States,Tsonga,12/11/2003
Hector,Cochern,Kuchurhan,Ukraine,Kannada,10/18/2000
Dorise,Walstow,Chapadinha,Brazil,Japanese,12/1/2004
Tomasine,Eddisford,Zaindainxoi,China,Burmese,7/22/2002
Patric,Burgott,Kuchurhan,Ukraine,Belarusian,12/5/2007
Cristina,Lorant,Kufayrit,Palestinian Territory,Sotho,4/29/2017
Gigi,McQuaker,Arthur’s Town,Bahamas,Mongolian,6/9/2005
Maiga,Braithwaite,Artur Nogueira,Brazil,Tamil,5/10/1993
Camel,Copson,Ранковце,Macedonia,Georgian,5/6/2017
Melody,Graham,San Antonio,Philippines,Lithuanian,12/16/2007
Anni,Tomaselli,Zhangdan,China,Dari,2/13/2002
Annelise,Alderton,Formosa do Rio Preto,Brazil,Guaraní,7/15/1995
Clarke,Freake,Al Qarmadah,Tunisia,Hindi,3/19/2014
Elnore,Copcutt,Caicedonia,Colombia,Maltese,10/18/2005
Cyrill,Hedan,Zhaobaoshan,China,French,12/21/2007
Othella,Doldon,Yokosuka,Japan,Kyrgyz,3/14/1990
Paola,Dabrowski,Toumodi,Ivory Coast,Thai,1/20/1997
Arlinda,Laverack,Zátor,Czech Republic,Gujarati,6/30/1998
Saunderson,Bason,Ādam,Oman,Somali,4/26/1995
Marcellina,Amoore,Kolomak,Ukraine,Gagauz,2/9/2017
Grayce,Whetnell,Heiiyugou,China,Chinese,7/10/2004
Kira,Sacco,Sal’sk,Russia,Swati,5/19/1999
Aubree,Neasam,Bedinje,Macedonia,Polish,8/10/1990
Elia,Shinfield,Huangshagang,China,Hungarian,1/4/2016
Malynda,McVicar,Kulun,China,Haitian Creole,6/17/2003
Roxana,Saunderson,Rogoza,Slovenia,Icelandic,11/8/2004
Tildy,Edgeson,Tocoa,Honduras,Croatian,9/3/2013
Kyla,Giannini,Shancheng,China,Italian,5/14/2017
Erasmus,Leneve,San Esteban,Philippines,German,12/6/2013
Alfonso,Dudman,Dali,China,Papiamento,6/11/2010
Thadeus,Minot,Xinxi,China,Pashto,11/4/1993
Bambie,Kleuer,Elefsína,Greece,Japanese,12/22/1998
Clarke,Eddington,Pingtan,China,Assamese,4/19/2000
Teddie,Verry,Åmål,Sweden,Gujarati,6/10/2019
Maximilien,Loggie,Vancouver,United States,Tetum,4/27/2000
Valerie,Tarbett,Miami,United States,Hebrew,2/21/2013
Josey,O'Lochan,Nenagh,Ireland,Georgian,1/22/1998
Selle,Real,Ngembel,Indonesia,Tamil,3/2/2010
Humbert,Daintrey,Niederwaldkirchen,Austria,Kashmiri,1/30/1997
Travus,Herrero,Mueang Suang,Thailand,Fijian,6/15/2011
Iona,Comfort,Pankrushikha,Russia,Oriya,7/4/2001
Zelma,Poplee,Modot,Mongolia,Estonian,5/13/2014
Therine,Red,Floresta,Colombia,Māori,5/18/1999
Augustine,Sleath,Banjar Bali,Indonesia,Chinese,5/18/2007
Georgianna,Sudlow,Jinjing,China,Indonesian,4/3/2000
Winthrop,Critch,Pingshan,China,Arabic,2/1/1998
Adah,Jehaes,Rawa,Indonesia,Luxembourgish,11/21/2001
Danie,Grabbam,Calaoagan,Philippines,Māori,1/25/2004
Vic,Barens,Ōdachō-ōda,Japan,Hindi,12/12/1998
Chrysa,Dumberell,Xinzheng,China,Catalan,5/25/2006
Sigismond,Hulland,Cankuzo,Burundi,Ndebele,4/25/2000
Ruthanne,Zapater,Shanmu,China,Indonesian,8/29/1996
Niel,Blockey,Xumu,China,Amharic,2/23/2011
Sarene,Kersley,Ōita,Japan,Hebrew,12/9/2007
Tomkin,Georgins,Јегуновце,Macedonia,Armenian,3/1/2007
Belvia,Solesbury,Sigou,China,Irish Gaelic,3/2/2008
Cristina,Triswell,Alvito,Portugal,Tsonga,3/19/1992
Skell,Wreight,Alcácer do Sal,Portugal,Norwegian,12/24/2015
Leone,Keaton,Horní Čermná,Czech Republic,Belarusian,2/26/2004
Byrann,Mc Menamin,Zhenlong,China,Thai,1/29/2012
Prent,Canario,Balpyk Bī,Kazakhstan,Ndebele,8/11/2016
Whit,Hayhow,Nginjen,Indonesia,Kannada,6/3/1992
Stanfield,Roofe,Wuxi,China,Kashmiri,6/19/1990
Adey,Salasar,Kleszczów,Poland,Maltese,5/29/1996
Holmes,Kinloch,Kybartai,Lithuania,Bislama,2/18/1994
Charlena,Gerrett,Baishuitan,China,German,2/12/2012
Chrysler,Mulrean,Postira,Croatia,Hungarian,5/13/2013
Prissie,Cahan,Cut-cut Primero,Philippines,Tamil,6/12/1999
Morton,Digweed,Bisert’,Russia,Papiamento,8/21/1995
Aldus,Vanyukov,Frederico Westphalen,Brazil,German,9/14/2000
Emalia,Sayce,Fengcheng,China,Telugu,12/27/2000
Tabina,McPhilemy,Portelinha,Portugal,Assamese,12/24/1991
Nert,Bytheway,Grindavík,Iceland,Tetum,6/28/2002
Noelle,Poulden,Pantin,France,West Frisian,10/30/2019
Jasun,Kinton,Balud,Philippines,Thai,1/13/1995
Coleen,Jerger,Tanushimarumachi-toyoki,Japan,English,7/20/2016
Trumann,Hambrook,Hetang,China,Hungarian,3/22/1999
Terrye,Annatt,Qingyang,China,Romanian,7/28/1999
Rene,Robillard,Oslo,Norway,Malayalam,7/30/2015
Rafaellle,Boydon,Kuala Terengganu,Malaysia,Malay,1/11/1991
Linnet,MacDirmid,Geidam,Nigeria,Catalan,10/10/1990
Octavia,Top,Kristinestad,Finland,Papiamento,12/25/2006
Simonne,Anning,Kostryzhivka,Ukraine,Filipino,4/20/2014
Helen,Elvish,Stari Grad,Serbia,Hebrew,11/3/2018
Hertha,Phelp,Bašaid,Serbia,Papiamento,5/5/1997
Noelle,Yelding,Bulbul,Syria,Kurdish,5/18/1994
Elvin,Adshead,Bosanski Novi,Bosnia and Herzegovina,Afrikaans,4/10/2003
Mitch,Gallant,Bayt Ūmmar,Palestinian Territory,Georgian,10/15/1993
Uriel,Yaakov,Baimi,China,New Zealand Sign Language,4/23/2007
Alfonso,Mingaye,Hŭngju-dong,North Korea,Malay,9/26/1993
Dorey,Spur,Olofström,Sweden,Kurdish,2/5/1991
Trixi,Reinbeck,Neuilly-sur-Seine,France,Malagasy,12/31/2000
Dory,Winram,Huangzhuang,China,Azeri,10/22/1990
Ly,Biasioli,Sabang,Philippines,Dari,4/15/2008
Gabie,Dallicott,Vårby,Sweden,Hebrew,9/13/2019
Colleen,Riggott,Baishan,China,Māori,11/4/2019
Cos,Inworth,Otyń,Poland,Spanish,8/4/2009
Inger,Banasik,Roldanillo,Colombia,Tajik,6/9/1991
Catha,Roncelli,Emmen,Netherlands,Afrikaans,5/30/2000
Brandon,Clemont,Vikbolandet,Sweden,German,2/23/2010
Lynne,Bradforth,Fangxiang,China,Bulgarian,7/24/2007
Johnny,Heskey,Habo,Sweden,Georgian,6/1/2013
Robbin,Cescotti,Minador do Negrão,Brazil,Bislama,7/1/1998
Annissa,Timoney,Wenfang,China,West Frisian,11/7/1996
Nicholas,Hansley,Sępopol,Poland,Romanian,12/30/1999
Megan,Offield,Oitui,Indonesia,Hungarian,3/14/2001
Valery,Huban,Sosándra,Greece,Danish,3/31/2014
Verna,Azemar,Argir,Faroe Islands,Malay,12/20/2002
Alvina,Pude,Sindang,Indonesia,Croatian,1/17/1993
Hannah,Drakes,Foz Sousa,Portugal,Somali,10/2/2010
Reggy,Klaus,Gasi,China,Danish,6/17/2004
Pietrek,Cann,Río Guayabal de Yateras,Cuba,Dhivehi,1/31/1996
Robbyn,Woodwind,Kalmar,Sweden,Czech,9/10/1996
Ernestus,Jeannequin,Huillapima,Argentina,Azeri,4/4/2002
Eddie,Vinsen,Huangcai,China,Montenegrin,2/15/2008
Legra,Cuerdale,Xuelu,China,Lithuanian,4/19/2000
Donnie,Tolman,Mrzezino,Poland,Bulgarian,11/14/2011
Stefano,Gritsaev,Gardēz,Afghanistan,Bosnian,3/26/1992
Camella,Duckit,Artur Nogueira,Brazil,Fijian,5/27/2019
Judd,Collerd,Novyy Urgal,Russia,Czech,12/18/1996
Emmy,Izacenko,Makanya,Tanzania,Kashmiri,2/14/2009
Valene,Columbine,Kudamatsu,Japan,Portuguese,9/10/1994
Sheree,Renad,Mamanguape,Brazil,Aymara,4/14/2019
Lynnette,Dow,Nanzhihui,China,Kannada,12/12/2012
Ebenezer,Collington,Ainaro,East Timor,Māori,5/9/2008
Paolina,Arnaldo,G’uzor,Uzbekistan,Maltese,12/7/2004
Carina,Whall,Limoncito,Bolivia,Maltese,6/24/1993
Paola,Winnister,Avaré,Brazil,Lithuanian,10/23/1994
Willow,McGawn,Kuala Lumpur,Malaysia,Estonian,12/5/2004
Leeann,Gregine,Groningen,Netherlands,Tajik,3/17/2020
Warde,Barkess,La Virginia,Colombia,Maltese,4/1/1997
Libbi,Vasiliev,Urbiztondo,Philippines,Punjabi,10/23/1991
Minnaminnie,Malthus,Paclolo,Philippines,Marathi,11/26/2003
Krissy,Jenicek,Pa Sang,Thailand,Kannada,8/23/2009
Adolf,Brandassi,Piteå,Sweden,Tetum,3/3/2018
Fanny,Culham,Gião,Portugal,Kyrgyz,3/6/2009
Vassily,McHardy,Nālūt,Libya,Haitian Creole,3/8/2013
Rebeca,Keaysell,Bayeux,France,Ndebele,4/25/2008
Cassy,Burrow,Jaworze,Poland,Italian,8/25/2018
Blanca,Corzor,Rakiv Lis,Ukraine,Bulgarian,4/6/2020
Gunther,Burtonshaw,Shiziqiao,China,Indonesian,10/19/1990
Ibby,Fairfoull,Masindi Port,Uganda,Czech,5/10/2015
Chadd,Darkins,‘Afrīn,Syria,Bosnian,7/26/1992
Glenn,Snoad,Haebaru,Japan,German,10/28/2010
Angele,Eede,Verin Artashat,Armenia,Bengali,5/31/2016
Sibbie,Elleton,Kitwe,Zambia,Guaraní,10/4/2012
Nerita,Kordova,Tilburg,Netherlands,Norwegian,6/1/2012
Karine,MacDermand,Danbury,United States,Haitian Creole,4/3/1991
Cassie,Harker,Willowdale,Canada,Kyrgyz,9/20/2003
Lucas,Coote,Rossosh’,Russia,Afrikaans,11/22/2000
Netta,Shepcutt,Bulri,Pakistan,Greek,9/15/1992
Lu,Olrenshaw,Puolanka,Finland,Somali,7/23/1998
Kingsly,Piercey,Jacareí,Brazil,Albanian,11/15/1993
Susanetta,Stannion,Siikainen,Finland,Papiamento,7/29/2008
Stephen,Merfin,Wasquehal,France,Korean,5/31/2018
Phoebe,Ferrierio,Muang Long,Laos,Tok Pisin,1/29/2010
Luca,Cranson,Nang Rong,Thailand,Yiddish,6/12/2008
Loutitia,Bygrave,Nowe Miasto,Poland,Kashmiri,10/23/2017
Theo,Ghilks,Rowotengah,Indonesia,Finnish,3/30/2000
Elyn,Rollin,Jiguan,China,Maltese,12/26/2020
Joshia,Hilling,Vila de Rei,Portugal,Bislama,6/29/2019
Benji,Monnoyer,Ceará Mirim,Brazil,Malagasy,7/3/1990
Ludovico,Ferryn,Kario,Pakistan,Lithuanian,5/13/2009
Marleen,Gentle,Buensuseso,Philippines,Arabic,12/31/2013
Jelene,Bilbrooke,Vetluzhskiy,Russia,Portuguese,11/16/2001
Zacherie,Grasner,Yukuriawat,China,Italian,4/23/2006
Regan,Pickford,Nanzhang Chengguanzhen,China,Tetum,4/7/2006
Trudie,Doles,Dengjiang,China,Pashto,2/27/2011
Ulrich,Toghill,San Ignacio,Honduras,Gagauz,7/11/1998
Chane,Dogg,Zhetian,China,Mongolian,3/3/2016
Jorie,Ianelli,Cereté,Colombia,Khmer,9/25/2018
Gerald,Mynott,Payxambabazar,China,Azeri,12/4/2015
Antoine,Branni,Banaba,Philippines,Somali,1/20/2008
Dick,Arnull,Fort Portal,Uganda,Hebrew,10/30/2019
Dolli,Tarren,Xiaochi,China,Guaraní,3/19/2011
Barnabas,Baselli,Bua Yai,Thailand,West Frisian,5/20/2006
Karena,Slowley,Wilanagara,Indonesia,Bengali,12/6/2013
Malory,Rother,Middleton,Canada,Korean,2/4/2003
Dannie,Broadist,Kladno,Czech Republic,Lao,7/15/1990
Felix,Lighten,Diaoling,China,Kashmiri,2/6/1996
Rickard,Webermann,Vazhiny,Russia,Malayalam,12/22/1997
Fina,Sanpher,Dobra,Poland,Swati,1/16/2014
Selle,Saffell,Guaratinguetá,Brazil,Swati,7/12/2012
Judah,Scripps,Chivhu,Zimbabwe,Papiamento,8/2/2003
Laurence,Gahagan,Samal,Philippines,Estonian,6/23/2001
Harcourt,Summers,Ariz,Portugal,Hebrew,2/27/2012
Mair,Macconachy,Yaguarón,Paraguay,Croatian,10/14/2013
Euphemia,Beadell,Petite Rivière de Nippes,Haiti,Dhivehi,9/13/2014
Luisa,Adamo,Нераште,Macedonia,Portuguese,8/23/1997
Winona,Holdall,Wugong,China,Bengali,8/18/2007
Sheba,Fowls,Changsha,China,Hindi,10/15/2000
Nerita,Guerry,Lille,France,Catalan,7/4/2002
Kendell,Lawes,Strasbourg,France,Maltese,3/1/1999
Eilis,Croshaw,Thị Trấn Quế,Vietnam,Romanian,12/28/2009
Massimo,Dougher,Foumbouni,Comoros,Lithuanian,5/31/1992
Dena,Ruddick,Kantemirovka,Russia,Afrikaans,12/14/2011
Royal,Tick,Purísima,Colombia,Dari,11/20/1994
Annalee,Nesterov,Banjar Pedawa,Indonesia,Malay,3/16/2006
Farlie,Bracher,Březová,Czech Republic,Pashto,10/25/2007
Dexter,Heighway,Oslo,Norway,Chinese,1/23/2017
Rasia,Hover,Huacho,Peru,Moldovan,11/10/2015
Bartlet,Ramelet,Shiren,China,Malay,4/16/2009
Vanda,Parke,Sanok,Poland,Quechua,4/1/2012
Hall,Hills,Ljungby,Sweden,Kurdish,10/31/1992
Ambrose,Casiero,Jinchang,China,Lao,12/6/1993
Kaleb,Birchenhead,Protvino,Russia,Maltese,5/27/2018
Carver,Brookzie,Lérida,Colombia,Hungarian,2/22/2021
Aila,Lush,Miami,United States,Fijian,4/23/1997
Bernie,Hawksworth,Pérama,Greece,Gujarati,12/7/2016
Bevan,Hamm,Gongfang,China,Norwegian,8/7/2015
Theodor,Dwight,Wanganui,New Zealand,Albanian,7/9/1990
Olympia,Benito,Phuket,Thailand,Luxembourgish,12/29/2003
Kasper,Braven,Doruchów,Poland,Aymara,12/15/2002
Audi,Dulake,Carabayllo,Peru,Czech,7/27/2006
Maryjane,Goulden,Storozhynets’,Ukraine,Icelandic,3/26/2020
Roth,Filchakov,Sagrada Familia,Philippines,Nepali,8/22/2016
Bartolemo,Gaisford,Beicheng,China,Lao,10/29/1995
Maurizia,Shay,Xianrendu,China,Kazakh,11/28/1990
Marysa,Daenen,Nancha,China,Portuguese,4/3/2014
Eustace,Piddle,Al Mughayyir,Palestinian Territory,New Zealand Sign Language,12/21/2005
Damiano,Baptiste,Junchuan,China,Mongolian,7/3/1992
Wiatt,Szymon,Annecy,France,Aymara,3/7/2003
Leopold,Domingues,Shuanglongchang,China,Gujarati,2/19/2003
Milicent,Haccleton,Venëv,Russia,Kyrgyz,7/17/2016
Hube,Amor,Kesha,China,Haitian Creole,6/29/1998
Nanon,Prendergrass,Songnim,North Korea,Finnish,5/7/1997
Florencia,Mengue,Ormož,Slovenia,Hiri Motu,1/28/2002
Irma,Bluschke,Povorino,Russia,Malay,4/14/2010
Sue,Quinby,Ban Khok,Thailand,Japanese,6/28/1997
Enoch,Mathey,Al Jawādīyah,Syria,Dari,10/30/2008
Del,Lammerts,Sutysky,Ukraine,Georgian,10/24/2002
Sosanna,Halsworth,San Vicente,Philippines,Indonesian,10/15/2000
Virgie,Cantu,Sa’erhusong,China,Lithuanian,10/2/2020
Reinhard,Beaulieu,Sōja,Japan,Swahili,6/26/1998
Aurelie,Atthow,Mŭynoq,Uzbekistan,Luxembourgish,4/14/2010
Cheryl,Reeday,Perpignan,France,Marathi,2/1/2017
Carolee,Jouannisson,Augusta,United States,Thai,7/17/1995
Joelie,Ramas,Almirante,Panama,Malay,11/28/2013
Kenna,Wyeth,Heret,Indonesia,Albanian,8/6/2019
Chere,Mattussevich,Kyenjojo,Uganda,Khmer,10/24/1998
Judie,Bulch,Daguma,Philippines,Zulu,8/15/1999
Phoebe,Cancellor,Turangi,New Zealand,Northern Sotho,2/7/1994
Harrison,Barthel,La Salud,Cuba,Gujarati,2/24/2004
Lanni,Westgarth,Ang Thong,Thailand,Kannada,12/23/2005
Ottilie,Gilks,Vetluzhskiy,Russia,Thai,7/11/2006
Hammad,Fice,Campo Mourão,Brazil,Khmer,8/23/2020
Ariana,Henzer,Amparafaravola,Madagascar,Bosnian,8/28/2005
Yvor,Hotton,Senggapi,Indonesia,Dzongkha,7/29/2013
Hirsch,Bryett,Shuanglongchang,China,Haitian Creole,1/13/1990
Binnie,Toller,Krajan Craken,Indonesia,Malay,8/20/2008
Maisey,Turbat,Shanshi,China,Hungarian,12/14/2005
Filia,Gartsyde,Sung Noen,Thailand,Arabic,5/25/1990
Fina,Candlin,San Luis,Cuba,Māori,8/11/2002
Johannes,Kingescot,Evansville,United States,Oriya,5/23/2003
Sheela,Sirmond,Rājo Khanāni,Pakistan,Thai,4/24/2009
Murvyn,Syalvester,Brodnica,Poland,Indonesian,4/2/1999
Lurette,Sprowson,Mashan,China,Georgian,8/24/2002
Sybille,Mohammad,Puubheto,Indonesia,Burmese,9/5/2019
Leta,Vowles,Saint Pierre,Mauritius,Maltese,8/28/2015
Paquito,Lewins,Zhongba,China,Korean,6/3/1997
Danielle,Housiaux,Porto Velho,Brazil,Polish,9/3/2000
Felecia,Rogan,Pilpichaca,Peru,Georgian,8/31/1995
Base,Claisse,Longtang,China,Finnish,1/3/2003
Marguerite,Twyning,Ngasinan,Indonesia,Punjabi,3/1/2018
Damara,Bonnefin,Alcabideche,Portugal,Malayalam,11/17/2012
Valaree,Catcherside,Mönsterås,Sweden,Mongolian,6/30/1992
Margaretha,Marrett,Brodarica,Croatia,Swahili,6/25/2017
Thorin,Shacklady,Gambaru,Nigeria,Swahili,1/11/2020
Juliette,Neylan,Qinjia,China,Khmer,12/8/2004
Ruthy,Toten,Sol’tsy,Russia,Fijian,1/28/1994
Domini,Flower,Lunik,Albania,Arabic,7/8/2009
Juieta,Dabbes,Bader,Indonesia,Indonesian,10/15/1998
Kirsteni,Duckerin,Nafada,Nigeria,Irish Gaelic,11/5/2009
Selma,Aubrun,Xinglong,China,Romanian,9/18/2016
Steffen,Benson,Peña Blanca,Honduras,Tetum,5/19/1997
Zsazsa,McGlaud,Indianapolis,United States,Albanian,1/4/2008
Piggy,Treasaden,Talavera,Philippines,Finnish,5/7/1992
Skippy,Etchingham,Dawwār Tīnjah,Tunisia,Assamese,9/7/2009
Valenka,Dixcey,Kunwi,South Korea,Montenegrin,2/18/2002
Tamra,Foy,Golek,Indonesia,Thai,10/1/2014
Freedman,Grassin,Jiulian,China,Papiamento,9/7/2012
Ambrosius,Wollacott,Fujieda,Japan,New Zealand Sign Language,4/24/2019
Sander,Eite,Shënmëri,Albania,New Zealand Sign Language,1/22/2020
Shepherd,Butland,Padangguci,Indonesia,New Zealand Sign Language,8/4/2010
Granny,Scarrott,Shar’ya,Russia,Polish,2/16/1993
Panchito,Issard,Baharly,Turkmenistan,Lao,5/7/2002
Ailey,Cammacke,Karlskoga,Sweden,Māori,2/9/2007
Zarla,Tremoulet,Vári,Greece,Quechua,11/28/2019
Thayne,Aggis,Gazojak,Turkmenistan,Quechua,1/5/2001
Brnaby,Ritelli,Beima,China,Aymara,6/10/2005
Larisa,Quigley,Orekhovo-Borisovo Severnoye,Russia,Kashmiri,12/22/1999
Tiffany,Macak,Fuquan,China,Punjabi,8/3/2001
Emilee,Shoubridge,Sainte-Agathe-des-Monts,Canada,Swati,2/13/1995
Cello,Comben,Leuwipicung,Indonesia,Norwegian,10/2/1997
Gibb,Capewell,Sandaohezi,China,Gujarati,3/17/1994
Guillema,Spires,Rengo,Chile,Macedonian,12/3/2020
Rochester,Bowart,Caetité,Brazil,Greek,7/16/1996
Godfree,Puttock,Bárrio,Portugal,Dari,7/23/2020
Carina,Whittek,Sanhe,China,Bengali,5/19/2013
Ammamaria,Leidecker,Fresno,United States,Fijian,10/16/1997
Haley,Sirette,Almargem do Bispo,Portugal,Portuguese,3/4/1992
Devonne,Oxterby,Caohe,China,Danish,5/10/1994
Concettina,Prugel,Kiiminki,Finland,Assamese,10/16/2008
Reagen,Abbey,Palaífyto,Greece,Hungarian,11/10/1994
Rebecca,Jory,Chiri-Yurt,Russia,Hungarian,9/20/2009
Fraze,Elphinston,Venda,Portugal,Kannada,1/6/2007
Justin,Rogger,Yingtou,China,Kurdish,11/29/1991
Atalanta,Astill,Český Těšín,Czech Republic,Telugu,8/3/1992
Johanna,Diano,Taiyanghe,China,New Zealand Sign Language,7/3/1993
Englebert,Aaronsohn,Abū Tīj,Egypt,Filipino,10/24/2004
Tamqrah,Tripony,Currais,Portugal,Kurdish,4/15/2018
Kristofer,Alessandrini,Phra Phrom,Thailand,Polish,8/21/2017
Valida,Blincowe,Duzhenwan,China,Persian,7/12/2009
Beilul,Stanbra,Cigebrok,Indonesia,Bislama,11/1/2007
Bernadina,Saipy,Ignacio Zaragoza,Mexico,Swedish,7/22/2019
Corny,Orht,Franca,Brazil,West Frisian,10/31/1990
Gene,Prandy,Hyesan-dong,North Korea,Tetum,7/24/2004
Maureene,Fortman,Babakan,Indonesia,Luxembourgish,11/17/2020
Joline,Gonnard,Reims,France,Greek,9/24/1999
Harlen,Ridings,Dzhebariki-Khaya,Russia,Japanese,3/17/2016
Catrina,Bellon,Adani,Nigeria,Bosnian,2/20/2005
Alanah,Haeslier,Yinjiang,China,Dari,8/3/2013
Lucho,Glyn,Longcheng,China,Kazakh,9/1/1994
Candis,Ellerbeck,Vuhlehirs’k,Ukraine,Portuguese,5/13/1994
